0  1:0.075  2:0.025  3:0.1  4:0.05  5:0.0  6:0.0  7:0.05  8:0.125  9:0.125  10:0.025  11:0.025  12:0.075  13:0.075  14:0.125  15:0.075  16:0.05  17:0.15384615384615385  18:0.0  19:0.05128205128205128  20:0.02564102564102564  21:0.05128205128205128  22:0.05128205128205128  23:0.0  24:0.07692307692307693  25:0.07692307692307693  26:0.0  27:0.10256410256410256  28:0.07692307692307693  29:0.0  30:0.10256410256410256  31:0.10256410256410256  32:0.1282051282051282  33:0.05263157894736842  34:0.02631578947368421  35:0.05263157894736842  36:0.07894736842105263  37:0.02631578947368421  38:0.05263157894736842  39:0.05263157894736842  40:0.05263157894736842  41:0.15789473684210525  42:0.02631578947368421  43:0.07894736842105263  44:0.0  45:0.05263157894736842  46:0.05263157894736842  47:0.05263157894736842  48:0.18421052631578946  49:0.08108108108108109  50:0.02702702702702703  51:0.05405405405405406  52:0.02702702702702703  53:0.02702702702702703  54:0.02702702702702703  55:0.05405405405405406  56:0.08108108108108109  57:0.08108108108108109  58:0.05405405405405406  59:0.02702702702702703  60:0.10810810810810811  61:0.08108108108108109  62:0.05405405405405406  63:0.10810810810810811  64:0.10810810810810811
0  1:0.2  2:0.075  3:0.0  4:0.075  5:0.125  6:0.075  7:0.025  8:0.05  9:0.0  10:0.0  11:0.025  12:0.05  13:0.05  14:0.1  15:0.025  16:0.125  17:0.1282051282051282  18:0.1282051282051282  19:0.0  20:0.10256410256410256  21:0.10256410256410256  22:0.0  23:0.05128205128205128  24:0.1282051282051282  25:0.02564102564102564  26:0.02564102564102564  27:0.0  28:0.02564102564102564  29:0.10256410256410256  30:0.10256410256410256  31:0.02564102564102564  32:0.05128205128205128  33:0.10526315789473684  34:0.10526315789473684  35:0.02631578947368421  36:0.13157894736842105  37:0.07894736842105263  38:0.05263157894736842  39:0.02631578947368421  40:0.13157894736842105  41:0.05263157894736842  42:0.02631578947368421  43:0.0  44:0.0  45:0.10526315789473684  46:0.07894736842105263  47:0.02631578947368421  48:0.05263157894736842  49:0.05405405405405406  50:0.10810810810810811  51:0.0  52:0.1891891891891892  53:0.13513513513513514  54:0.08108108108108109  55:0.02702702702702703  56:0.05405405405405406  57:0.05405405405405406  58:0.02702702702702703  59:0.0  60:0.0  61:0.10810810810810811  62:0.02702702702702703  63:0.05405405405405406  64:0.08108108108108109
0  1:0.075  2:0.05  3:0.0  4:0.125  5:0.05  6:0.05  7:0.025  8:0.125  9:0.025  10:0.0  11:0.0  12:0.05  13:0.125  14:0.15  15:0.05  16:0.1  17:0.02564102564102564  18:0.05128205128205128  19:0.02564102564102564  20:0.15384615384615385  21:0.07692307692307693  22:0.05128205128205128  23:0.05128205128205128  24:0.07692307692307693  25:0.02564102564102564  26:0.02564102564102564  27:0.0  28:0.02564102564102564  29:0.15384615384615385  30:0.10256410256410256  31:0.0  32:0.15384615384615385  33:0.13157894736842105  34:0.02631578947368421  35:0.02631578947368421  36:0.05263157894736842  37:0.10526315789473684  38:0.05263157894736842  39:0.0  40:0.10526315789473684  41:0.0  42:0.02631578947368421  43:0.0  44:0.05263157894736842  45:0.05263157894736842  46:0.13157894736842105  47:0.05263157894736842  48:0.18421052631578946  49:0.13513513513513514  50:0.02702702702702703  51:0.0  52:0.05405405405405406  53:0.02702702702702703  54:0.08108108108108109  55:0.05405405405405406  56:0.10810810810810811  57:0.0  58:0.0  59:0.02702702702702703  60:0.05405405405405406  61:0.13513513513513514  62:0.10810810810810811  63:0.0  64:0.1891891891891892
0  1:0.225  2:0.05  3:0.075  4:0.1  5:0.075  6:0.05  7:0.025  8:0.0  9:0.1  10:0.05  11:0.05  12:0.05  13:0.05  14:0.0  15:0.075  16:0.025  17:0.20512820512820512  18:0.10256410256410256  19:0.1282051282051282  20:0.0  21:0.05128205128205128  22:0.02564102564102564  23:0.02564102564102564  24:0.05128205128205128  25:0.10256410256410256  26:0.02564102564102564  27:0.05128205128205128  28:0.07692307692307693  29:0.10256410256410256  30:0.0  31:0.02564102564102564  32:0.02564102564102564  33:0.18421052631578946  34:0.10526315789473684  35:0.10526315789473684  36:0.05263157894736842  37:0.07894736842105263  38:0.02631578947368421  39:0.02631578947368421  40:0.02631578947368421  41:0.13157894736842105  42:0.02631578947368421  43:0.05263157894736842  44:0.05263157894736842  45:0.07894736842105263  46:0.0  47:0.02631578947368421  48:0.02631578947368421  49:0.13513513513513514  50:0.13513513513513514  51:0.08108108108108109  52:0.08108108108108109  53:0.10810810810810811  54:0.0  55:0.02702702702702703  56:0.02702702702702703  57:0.13513513513513514  58:0.0  59:0.10810810810810811  60:0.02702702702702703  61:0.08108108108108109  62:0.02702702702702703  63:0.0  64:0.02702702702702703
0  1:0.0  2:0.075  3:0.025  4:0.075  5:0.05  6:0.05  7:0.025  8:0.15  9:0.05  10:0.0  11:0.0  12:0.075  13:0.075  14:0.175  15:0.075  16:0.1  17:0.02564102564102564  18:0.05128205128205128  19:0.02564102564102564  20:0.07692307692307693  21:0.07692307692307693  22:0.10256410256410256  23:0.02564102564102564  24:0.05128205128205128  25:0.0  26:0.07692307692307693  27:0.0  28:0.05128205128205128  29:0.07692307692307693  30:0.05128205128205128  31:0.07692307692307693  32:0.23076923076923078  33:0.05263157894736842  34:0.0  35:0.02631578947368421  36:0.07894736842105263  37:0.0  38:0.10526315789473684  39:0.07894736842105263  40:0.07894736842105263  41:0.02631578947368421  42:0.0  43:0.02631578947368421  44:0.07894736842105263  45:0.10526315789473684  46:0.18421052631578946  47:0.0  48:0.15789473684210525  49:0.0  50:0.08108108108108109  51:0.02702702702702703  52:0.05405405405405406  53:0.10810810810810811  54:0.05405405405405406  55:0.0  56:0.08108108108108109  57:0.05405405405405406  58:0.0  59:0.02702702702702703  60:0.05405405405405406  61:0.0  62:0.16216216216216217  63:0.08108108108108109  64:0.21621621621621623
0  1:0.15  2:0.05  3:0.05  4:0.075  5:0.05  6:0.025  7:0.0  8:0.025  9:0.075  10:0.0  11:0.025  12:0.125  13:0.05  14:0.025  15:0.15  16:0.125  17:0.05128205128205128  18:0.05128205128205128  19:0.07692307692307693  20:0.15384615384615385  21:0.05128205128205128  22:0.0  23:0.0  24:0.05128205128205128  25:0.1282051282051282  26:0.02564102564102564  27:0.02564102564102564  28:0.05128205128205128  29:0.10256410256410256  30:0.02564102564102564  31:0.10256410256410256  32:0.10256410256410256  33:0.07894736842105263  34:0.05263157894736842  35:0.05263157894736842  36:0.15789473684210525  37:0.0  38:0.0  39:0.02631578947368421  40:0.05263157894736842  41:0.07894736842105263  42:0.02631578947368421  43:0.05263157894736842  44:0.07894736842105263  45:0.15789473684210525  46:0.02631578947368421  47:0.07894736842105263  48:0.07894736842105263  49:0.08108108108108109  50:0.02702702702702703  51:0.08108108108108109  52:0.16216216216216217  53:0.0  54:0.0  55:0.02702702702702703  56:0.02702702702702703  57:0.02702702702702703  58:0.08108108108108109  59:0.02702702702702703  60:0.10810810810810811  61:0.1891891891891892  62:0.0  63:0.08108108108108109  64:0.08108108108108109
0  1:0.075  2:0.025  3:0.075  4:0.0  5:0.0  6:0.0  7:0.05  8:0.075  9:0.1  10:0.05  11:0.125  12:0.075  13:0.0  14:0.05  15:0.1  16:0.2  17:0.02564102564102564  18:0.05128205128205128  19:0.07692307692307693  20:0.02564102564102564  21:0.02564102564102564  22:0.0  23:0.02564102564102564  24:0.05128205128205128  25:0.10256410256410256  26:0.02564102564102564  27:0.10256410256410256  28:0.1282051282051282  29:0.02564102564102564  30:0.05128205128205128  31:0.15384615384615385  32:0.1282051282051282  33:0.02631578947368421  34:0.02631578947368421  35:0.05263157894736842  36:0.07894736842105263  37:0.0  38:0.02631578947368421  39:0.05263157894736842  40:0.02631578947368421  41:0.07894736842105263  42:0.02631578947368421  43:0.15789473684210525  44:0.10526315789473684  45:0.07894736842105263  46:0.02631578947368421  47:0.10526315789473684  48:0.13157894736842105  49:0.05405405405405406  50:0.05405405405405406  51:0.02702702702702703  52:0.05405405405405406  53:0.02702702702702703  54:0.0  55:0.05405405405405406  56:0.02702702702702703  57:0.05405405405405406  58:0.02702702702702703  59:0.13513513513513514  60:0.16216216216216217  61:0.05405405405405406  62:0.02702702702702703  63:0.16216216216216217  64:0.08108108108108109
0  1:0.1  2:0.025  3:0.075  4:0.05  5:0.1  6:0.0  7:0.025  8:0.125  9:0.05  10:0.05  11:0.025  12:0.025  13:0.0  14:0.15  15:0.025  16:0.175  17:0.05128205128205128  18:0.02564102564102564  19:0.05128205128205128  20:0.1282051282051282  21:0.05128205128205128  22:0.07692307692307693  23:0.05128205128205128  24:0.07692307692307693  25:0.05128205128205128  26:0.02564102564102564  27:0.02564102564102564  28:0.05128205128205128  29:0.10256410256410256  30:0.10256410256410256  31:0.02564102564102564  32:0.10256410256410256  33:0.02631578947368421  34:0.07894736842105263  35:0.0  36:0.13157894736842105  37:0.10526315789473684  38:0.02631578947368421  39:0.05263157894736842  40:0.07894736842105263  41:0.05263157894736842  42:0.02631578947368421  43:0.02631578947368421  44:0.05263157894736842  45:0.07894736842105263  46:0.10526315789473684  47:0.07894736842105263  48:0.07894736842105263  49:0.05405405405405406  50:0.05405405405405406  51:0.02702702702702703  52:0.10810810810810811  53:0.02702702702702703  54:0.05405405405405406  55:0.08108108108108109  56:0.08108108108108109  57:0.08108108108108109  58:0.05405405405405406  59:0.0  60:0.02702702702702703  61:0.10810810810810811  62:0.08108108108108109  63:0.05405405405405406  64:0.10810810810810811
0  1:0.025  2:0.075  3:0.025  4:0.025  5:0.025  6:0.1  7:0.075  8:0.15  9:0.0  10:0.05  11:0.025  12:0.075  13:0.1  14:0.1  15:0.025  16:0.125  17:0.02564102564102564  18:0.05128205128205128  19:0.02564102564102564  20:0.05128205128205128  21:0.05128205128205128  22:0.07692307692307693  23:0.02564102564102564  24:0.1794871794871795  25:0.0  26:0.07692307692307693  27:0.0  28:0.07692307692307693  29:0.07692307692307693  30:0.1282051282051282  31:0.07692307692307693  32:0.07692307692307693  33:0.0  34:0.05263157894736842  35:0.02631578947368421  36:0.07894736842105263  37:0.07894736842105263  38:0.18421052631578946  39:0.0  40:0.05263157894736842  41:0.05263157894736842  42:0.02631578947368421  43:0.0  44:0.07894736842105263  45:0.02631578947368421  46:0.07894736842105263  47:0.10526315789473684  48:0.15789473684210525  49:0.02702702702702703  50:0.08108108108108109  51:0.0  52:0.05405405405405406  53:0.02702702702702703  54:0.08108108108108109  55:0.10810810810810811  56:0.10810810810810811  57:0.02702702702702703  58:0.02702702702702703  59:0.0  60:0.08108108108108109  61:0.08108108108108109  62:0.13513513513513514  63:0.02702702702702703  64:0.13513513513513514
0  1:0.125  2:0.1  3:0.1  4:0.075  5:0.075  6:0.025  7:0.05  8:0.05  9:0.075  10:0.025  11:0.0  12:0.05  13:0.1  14:0.05  15:0.025  16:0.075  17:0.10256410256410256  18:0.1282051282051282  19:0.07692307692307693  20:0.07692307692307693  21:0.10256410256410256  22:0.02564102564102564  23:0.02564102564102564  24:0.05128205128205128  25:0.02564102564102564  26:0.02564102564102564  27:0.02564102564102564  28:0.07692307692307693  29:0.1282051282051282  30:0.02564102564102564  31:0.05128205128205128  32:0.05128205128205128  33:0.13157894736842105  34:0.05263157894736842  35:0.05263157894736842  36:0.15789473684210525  37:0.05263157894736842  38:0.07894736842105263  39:0.05263157894736842  40:0.02631578947368421  41:0.07894736842105263  42:0.02631578947368421  43:0.02631578947368421  44:0.0  45:0.10526315789473684  46:0.05263157894736842  47:0.02631578947368421  48:0.07894736842105263  49:0.10810810810810811  50:0.13513513513513514  51:0.08108108108108109  52:0.08108108108108109  53:0.05405405405405406  54:0.02702702702702703  55:0.02702702702702703  56:0.08108108108108109  57:0.02702702702702703  58:0.0  59:0.05405405405405406  60:0.05405405405405406  61:0.1891891891891892  62:0.05405405405405406  63:0.0  64:0.02702702702702703
0  1:0.025  2:0.025  3:0.05  4:0.05  5:0.025  6:0.0  7:0.0  8:0.1  9:0.075  10:0.075  11:0.1  12:0.1  13:0.025  14:0.05  15:0.2  16:0.1  17:0.02564102564102564  18:0.02564102564102564  19:0.02564102564102564  20:0.07692307692307693  21:0.0  22:0.0  23:0.10256410256410256  24:0.02564102564102564  25:0.05128205128205128  26:0.02564102564102564  27:0.07692307692307693  28:0.1794871794871795  29:0.07692307692307693  30:0.10256410256410256  31:0.1282051282051282  32:0.07692307692307693  33:0.02631578947368421  34:0.0  35:0.02631578947368421  36:0.10526315789473684  37:0.02631578947368421  38:0.05263157894736842  39:0.02631578947368421  40:0.02631578947368421  41:0.10526315789473684  42:0.05263157894736842  43:0.15789473684210525  44:0.02631578947368421  45:0.0  46:0.05263157894736842  47:0.13157894736842105  48:0.18421052631578946  49:0.02702702702702703  50:0.05405405405405406  51:0.02702702702702703  52:0.05405405405405406  53:0.0  54:0.0  55:0.02702702702702703  56:0.08108108108108109  57:0.05405405405405406  58:0.05405405405405406  59:0.16216216216216217  60:0.08108108108108109  61:0.08108108108108109  62:0.05405405405405406  63:0.13513513513513514  64:0.10810810810810811
0  1:0.1  2:0.125  3:0.05  4:0.1  5:0.025  6:0.05  7:0.025  8:0.1  9:0.05  10:0.025  11:0.025  12:0.05  13:0.2  14:0.0  15:0.05  16:0.025  17:0.10256410256410256  18:0.05128205128205128  19:0.07692307692307693  20:0.1282051282051282  21:0.07692307692307693  22:0.07692307692307693  23:0.0  24:0.05128205128205128  25:0.10256410256410256  26:0.0  27:0.02564102564102564  28:0.02564102564102564  29:0.10256410256410256  30:0.05128205128205128  31:0.05128205128205128  32:0.07692307692307693  33:0.18421052631578946  34:0.07894736842105263  35:0.02631578947368421  36:0.05263157894736842  37:0.05263157894736842  38:0.02631578947368421  39:0.05263157894736842  40:0.07894736842105263  41:0.07894736842105263  42:0.0  43:0.0  44:0.07894736842105263  45:0.07894736842105263  46:0.05263157894736842  47:0.07894736842105263  48:0.07894736842105263  49:0.10810810810810811  50:0.05405405405405406  51:0.05405405405405406  52:0.10810810810810811  53:0.05405405405405406  54:0.05405405405405406  55:0.05405405405405406  56:0.05405405405405406  57:0.08108108108108109  58:0.02702702702702703  59:0.02702702702702703  60:0.02702702702702703  61:0.16216216216216217  62:0.02702702702702703  63:0.02702702702702703  64:0.08108108108108109
0  1:0.075  2:0.1  3:0.025  4:0.1  5:0.05  6:0.0  7:0.075  8:0.05  9:0.075  10:0.025  11:0.05  12:0.05  13:0.125  14:0.05  15:0.05  16:0.1  17:0.10256410256410256  18:0.02564102564102564  19:0.07692307692307693  20:0.07692307692307693  21:0.05128205128205128  22:0.02564102564102564  23:0.07692307692307693  24:0.02564102564102564  25:0.07692307692307693  26:0.02564102564102564  27:0.0  28:0.10256410256410256  29:0.10256410256410256  30:0.10256410256410256  31:0.02564102564102564  32:0.10256410256410256  33:0.13157894736842105  34:0.02631578947368421  35:0.05263157894736842  36:0.07894736842105263  37:0.07894736842105263  38:0.02631578947368421  39:0.0  40:0.07894736842105263  41:0.05263157894736842  42:0.05263157894736842  43:0.0  44:0.07894736842105263  45:0.07894736842105263  46:0.07894736842105263  47:0.13157894736842105  48:0.05263157894736842  49:0.10810810810810811  50:0.05405405405405406  51:0.05405405405405406  52:0.08108108108108109  53:0.08108108108108109  54:0.02702702702702703  55:0.0  56:0.05405405405405406  57:0.02702702702702703  58:0.08108108108108109  59:0.05405405405405406  60:0.02702702702702703  61:0.10810810810810811  62:0.02702702702702703  63:0.08108108108108109  64:0.13513513513513514
0  1:0.075  2:0.05  3:0.05  4:0.1  5:0.1  6:0.075  7:0.025  8:0.075  9:0.075  10:0.025  11:0.0  12:0.0  13:0.0  14:0.125  15:0.025  16:0.2  17:0.07692307692307693  18:0.10256410256410256  19:0.0  20:0.07692307692307693  21:0.07692307692307693  22:0.07692307692307693  23:0.02564102564102564  24:0.10256410256410256  25:0.05128205128205128  26:0.0  27:0.02564102564102564  28:0.02564102564102564  29:0.05128205128205128  30:0.10256410256410256  31:0.02564102564102564  32:0.1794871794871795  33:0.07894736842105263  34:0.10526315789473684  35:0.0  36:0.07894736842105263  37:0.05263157894736842  38:0.05263157894736842  39:0.07894736842105263  40:0.07894736842105263  41:0.05263157894736842  42:0.02631578947368421  43:0.0  44:0.02631578947368421  45:0.05263157894736842  46:0.10526315789473684  47:0.0  48:0.21052631578947367  49:0.08108108108108109  50:0.08108108108108109  51:0.02702702702702703  52:0.08108108108108109  53:0.05405405405405406  54:0.05405405405405406  55:0.02702702702702703  56:0.10810810810810811  57:0.02702702702702703  58:0.02702702702702703  59:0.0  60:0.05405405405405406  61:0.05405405405405406  62:0.13513513513513514  63:0.02702702702702703  64:0.16216216216216217
0  1:0.0  2:0.05  3:0.0  4:0.075  5:0.075  6:0.05  7:0.025  8:0.15  9:0.025  10:0.025  11:0.05  12:0.075  13:0.0  14:0.175  15:0.125  16:0.1  17:0.0  18:0.05128205128205128  19:0.02564102564102564  20:0.05128205128205128  21:0.0  22:0.07692307692307693  23:0.05128205128205128  24:0.1794871794871795  25:0.02564102564102564  26:0.02564102564102564  27:0.05128205128205128  28:0.07692307692307693  29:0.07692307692307693  30:0.15384615384615385  31:0.07692307692307693  32:0.07692307692307693  33:0.02631578947368421  34:0.05263157894736842  35:0.02631578947368421  36:0.02631578947368421  37:0.02631578947368421  38:0.15789473684210525  39:0.07894736842105263  40:0.05263157894736842  41:0.0  42:0.05263157894736842  43:0.02631578947368421  44:0.07894736842105263  45:0.05263157894736842  46:0.05263157894736842  47:0.05263157894736842  48:0.23684210526315788  49:0.02702702702702703  50:0.05405405405405406  51:0.0  52:0.05405405405405406  53:0.05405405405405406  54:0.05405405405405406  55:0.02702702702702703  56:0.16216216216216217  57:0.0  58:0.08108108108108109  59:0.05405405405405406  60:0.02702702702702703  61:0.02702702702702703  62:0.13513513513513514  63:0.08108108108108109  64:0.16216216216216217
0  1:0.175  2:0.075  3:0.05  4:0.075  5:0.1  6:0.05  7:0.0  8:0.05  9:0.075  10:0.075  11:0.05  12:0.0  13:0.025  14:0.0  15:0.1  16:0.1  17:0.10256410256410256  18:0.07692307692307693  19:0.07692307692307693  20:0.1282051282051282  21:0.05128205128205128  22:0.05128205128205128  23:0.02564102564102564  24:0.07692307692307693  25:0.1282051282051282  26:0.05128205128205128  27:0.02564102564102564  28:0.0  29:0.10256410256410256  30:0.02564102564102564  31:0.05128205128205128  32:0.02564102564102564  33:0.07894736842105263  34:0.07894736842105263  35:0.10526315789473684  36:0.10526315789473684  37:0.07894736842105263  38:0.05263157894736842  39:0.0  40:0.07894736842105263  41:0.10526315789473684  42:0.02631578947368421  43:0.02631578947368421  44:0.05263157894736842  45:0.13157894736842105  46:0.05263157894736842  47:0.02631578947368421  48:0.0  49:0.10810810810810811  50:0.08108108108108109  51:0.05405405405405406  52:0.10810810810810811  53:0.05405405405405406  54:0.05405405405405406  55:0.05405405405405406  56:0.05405405405405406  57:0.08108108108108109  58:0.05405405405405406  59:0.05405405405405406  60:0.02702702702702703  61:0.13513513513513514  62:0.02702702702702703  63:0.0  64:0.05405405405405406
